Steve|Wheeler|Steve|Wheeler|0
Lawrence|Simmons|Lawrence|Simmons|0
Amy|Matthews|Amy|Matthews|0
Diana|Boyd|Diana|Phillips|-2
Diana|Boyd|Diana|Boyd|0
Sharon|Russell|Sharon|Cunningham|8
Sharon|Russell|Sharon|Russell|0
Shawn|Lopez|Shawn|Lopez|0
Shawn|Lopez|Shawn|Holmes|-8
Carolyn|Stewart|Carolyn|Hicks|-4
Carolyn|Stewart|Carolyn|Stewart|0
Heather|Woods|Heather|Woods|0
Eugene|Harris|Eugene|Harris|0
Jack|Hanson|Jack|Hanson|0
Louise|Hicks|Louise|Scott|-3
Louise|Hicks|Louise|Hicks|0
Louise|Hicks|Louise|Hansen|-1
Louise|Hicks|Louise|Moreno|-1
Scott|Hunter|Scott|Marshall|5
Scott|Hunter|Scott|Hunter|0
Scott|Hunter|Scott|Armstrong|9
Christina|Dunn|Christina|Reed|10
Christina|Dunn|Christina|Dunn|0
Christina|Dunn|Christina|King|-8
Lois|Russell|Lois|Russell|0
Carlos|Bell|Carlos|Duncan|-20
Carlos|Bell|Carlos|Bell|0
Ryan|Harper|Ryan|Harper|0
Frank|Knight|Frank|Knight|0
Janice|Hunter|Janice|Foster|8
Janice|Hunter|Janice|Hunter|0
Henry|Long|Henry|Long|0
Irene|Edwards|Irene|Edwards|0
Fred|Day|Fred|Day|0
Louis|Moore|Louis|Moore|0
Robin|Gonzalez|Robin|Gonzalez|0
Robin|Gonzalez|Robin|George|12
Alan|Lee|Alan|Graham|12
Alan|Lee|Alan|Lee|0
Alan|Lee|Alan|Young|17
Jane|Welch|Jane|Welch|0
Bruce|Austin|Bruce|Austin|0
Edward|Mason|Edward|Franklin|9
Edward|Mason|Edward|Mason|0
Alan|Young|Alan|Graham|-5
Alan|Young|Alan|Lee|-17
Alan|Young|Alan|Young|0
Jason|Woods|Jason|Woods|0
Jason|Woods|Jason|Hunter|14
Diane|Robertson|Diane|Palmer|-8
Diane|Robertson|Diane|Robertson|0
Nancy|Stanley|Nancy|Stanley|0
Sara|Tucker|Sara|Tucker|0
Sara|Tucker|Sara|Fernandez|-10
Louise|Hansen|Louise|Scott|-2
Louise|Hansen|Louise|Hicks|1
Louise|Hansen|Louise|Hansen|0
Louise|Hansen|Louise|Moreno|0
Walter|Thompson|Walter|Thompson|0
Walter|Thompson|Walter|Carr|13
Walter|Thompson|Walter|Coleman|9
Sara|Fernandez|Sara|Tucker|10
Sara|Fernandez|Sara|Fernandez|0
Gregory|Hudson|Gregory|Hudson|0
David|Griffin|David|Griffin|0
Arthur|Willis|Arthur|Perkins|18
Arthur|Willis|Arthur|Willis|0
Arthur|Willis|Arthur|Walker|19
Arthur|Willis|Arthur|Coleman|13
Joyce|Barnes|Joyce|Barnes|0
Sean|Daniels|Sean|Carter|14
Sean|Daniels|Sean|Daniels|0
Benjamin|Wheeler|Benjamin|Wheeler|0
Kimberly|Hudson|Kimberly|Hudson|0
Kimberly|Hudson|Kimberly|Williamson|-9
Harry|Howard|Harry|Harrison|-5
Harry|Howard|Harry|Howard|0
Catherine|Collins|Catherine|Collins|0
Rebecca|Rivera|Rebecca|Rivera|0
Arthur|Walker|Arthur|Perkins|-1
Arthur|Walker|Arthur|Willis|-19
Arthur|Walker|Arthur|Walker|0
Arthur|Walker|Arthur|Coleman|-6
Bonnie|Harper|Bonnie|Wallace|5
Bonnie|Harper|Bonnie|Harper|0
Keith|Gonzales|Keith|Gonzales|0
Harold|Lopez|Harold|Lopez|0
Harold|Lopez|Harold|Daniels|12
Billy|Collins|Billy|Spencer|-5
Billy|Collins|Billy|Collins|0
Eric|Morales|Eric|Morales|0
Jose|Jenkins|Jose|Reid|3
Jose|Jenkins|Jose|Jenkins|0
Dennis|Brown|Dennis|Brown|0
Janet|Stanley|Janet|Stanley|0
Janet|Stanley|Janet|Nelson|-16
Howard|King|Howard|King|0
Emily|Jenkins|Emily|Jenkins|0
Linda|Hart|Linda|Hart|0
Elizabeth|White|Elizabeth|White|0
Arthur|Coleman|Arthur|Perkins|5
Arthur|Coleman|Arthur|Willis|-13
Arthur|Coleman|Arthur|Walker|6
Arthur|Coleman|Arthur|Coleman|0
Cynthia|Little|Cynthia|Little|0
Janet|Nelson|Janet|Stanley|16
Janet|Nelson|Janet|Nelson|0
Earl|Stevens|Earl|Stevens|0
Jason|Hunter|Jason|Woods|-14
Jason|Hunter|Jason|Hunter|0
Thomas|Cox|Thomas|Cox|0
Scott|Armstrong|Scott|Marshall|-4
Scott|Armstrong|Scott|Hunter|-9
Scott|Armstrong|Scott|Armstrong|0
Walter|Carr|Walter|Thompson|-13
Walter|Carr|Walter|Carr|0
Walter|Carr|Walter|Coleman|-4
Kelly|Hudson|Kelly|Hudson|0
Christopher|Woods|Christopher|Woods|0
Angela|Wood|Angela|Wood|0
Louise|Moreno|Louise|Scott|-2
Louise|Moreno|Louise|Hicks|1
Louise|Moreno|Louise|Hansen|0
Louise|Moreno|Louise|Moreno|0
Nicole|Hudson|Nicole|Hudson|0
Jerry|Armstrong|Jerry|Armstrong|0
Harold|Daniels|Harold|Lopez|-12
Harold|Daniels|Harold|Daniels|0
Shawn|Holmes|Shawn|Lopez|8
Shawn|Holmes|Shawn|Holmes|0
Maria|Moreno|Maria|Moreno|0
Kathryn|Medina|Kathryn|Medina|0
Walter|Coleman|Walter|Thompson|-9
Walter|Coleman|Walter|Carr|4
Walter|Coleman|Walter|Coleman|0
Michelle|Allen|Michelle|Allen|0
Kevin|Jordan|Kevin|Jordan|0
Cheryl|Smith|Cheryl|Smith|0
Charles|Martin|Charles|Martin|0
Martha|Cole|Martha|Porter|4
Martha|Cole|Martha|Cole|0
Christina|King|Christina|Reed|18
Christina|King|Christina|Dunn|8
Christina|King|Christina|King|0
Roger|Lynch|Roger|Evans|1
Roger|Lynch|Roger|Lynch|0
Robin|George|Robin|Gonzalez|-12
Robin|George|Robin|George|0
Shirley|Snyder|Shirley|Snyder|0
Donna|Moore|Donna|Lawrence|5
Donna|Moore|Donna|Moore|0
Kenneth|Ramirez|Kenneth|Fernandez|3
Kenneth|Ramirez|Kenneth|Ramirez|0
Kimberly|Williamson|Kimberly|Hudson|9
Kimberly|Williamson|Kimberly|Williamson|0
